Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
University of British Columbia,25,73.41,11.97,8.63,8.9,9.71,5.24,2.88,2.36,2.36,3.55,1.79,0,3.86,1.17,1.74,2.01,2.04,0.66,0.56,4
University of Calgary,26,73.29,13.99,8.25,4.14,9.71,6.29,3.31,1.65,4.15,3.3,2.04,0,2.95,3.09,1.24,1.7,2.01,0.25,1.22,4
Bentley University,27,73.2,14.96,6.4,8.9,9,5.83,3.78,0.59,0.71,2.94,0.47,1,3.96,4.77,1.7,1.41,2.11,0,0.67,4
Emory University,28,73.16,13.62,8.25,3.68,9.59,4.96,1.62,1.66,1.05,3.57,1.69,6,3.83,3.3,0.92,2.11,1.89,0.09,1.31,4
Oberlin College,29,72.94,11.74,9.16,4.82,8.31,4.3,1.79,2.1,4.08,3.54,2.05,1,3.69,5.04,1.67,2.02,2.05,0.73,0.85,4
University of San Diego,30,72.7,14.2,9.73,5.6,9.64,5.21,1.63,1.38,4.19,2.57,1.76,0,3.57,4,0.82,1.32,1.63,0.5,0.96,4
Humboldt State University,31,72.25,14.8,7.29,6.35,7.69,4.3,2.94,1.51,2.96,2.41,1.01,6,3.45,2.18,1.46,0,1.77,0.96,1.17,4
Florida Gulf Coast University,32,72.17,17.71,7.95,5.77,9.53,6.29,3.56,1.2,1.51,2.14,1.31,1,2.04,4.87,0.87,1.71,1.33,0,0.86,2.5
"University of Minnesota, Morris",33,71.99,15.21,6.24,5.3,9.66,6.24,2.38,0.97,4.98,2.91,2.13,1,2.25,3.67,1.18,0.59,1.52,0.76,0.97,4
"University of California, Santa Barbara",34,71.65,9.81,6.26,6.15,7.62,5.16,3.78,1.62,4.44,3.46,2.17,3,3.64,3.58,1.62,1.7,1.64,1.04,0.95,4
